                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.49434,                0.33592,                0.92438,                      1,                      1,                  0.995,                0.88063,                0.58739,                0.27586,                0.90894,               0.003565,               0.003565,               0.003565
                     67,                0.57642,                0.38627,                0.96592,                0.99169,                      1,                  0.995,                 0.8955,                0.51612,                0.26122,                0.88857,               0.003466,               0.003466,               0.003466
                     68,                0.55652,                0.36462,                0.98952,                      1,                      1,                  0.995,                0.88347,                0.57909,                 0.2811,                0.88995,               0.003367,               0.003367,               0.003367
                     69,                0.48773,                0.34805,                0.92551,                      1,                      1,                  0.995,                0.91072,                0.53772,                0.30653,                0.88906,               0.003268,               0.003268,               0.003268
                     70,                0.53642,                0.36805,                0.95732,                      1,                      1,                  0.995,                0.91772,                0.47087,                0.27938,                0.87212,               0.003169,               0.003169,               0.003169
                     71,                0.53672,                0.36361,                0.97339,                      1,                      1,                  0.995,                0.91146,                0.59047,                0.30513,                0.89756,                0.00307,                0.00307,                0.00307
                     72,                0.50788,                0.33684,                0.91932,                      1,                      1,                  0.995,                0.88481,                0.64297,                0.38718,                0.96109,               0.002971,               0.002971,               0.002971
                     73,                0.46783,                0.30217,                0.93784,                      1,                      1,                  0.995,                0.86897,                0.70357,                0.32936,                 1.0388,               0.002872,               0.002872,               0.002872
                     74,                  0.489,                0.34012,                0.97341,                      1,                      1,                  0.995,                0.88906,                0.58506,                0.33135,                0.89618,               0.002773,               0.002773,               0.002773
                     75,                0.50415,                0.32448,                0.96738,                0.99161,                      1,                  0.995,                 0.9056,                0.54708,                0.28027,                0.89627,               0.002674,               0.002674,               0.002674
                     76,                0.50019,                0.33068,                0.92159,                0.99177,                      1,                  0.995,                0.86499,                0.74486,                0.32891,                 0.9844,               0.002575,               0.002575,               0.002575
                     77,                0.45994,                0.32461,                0.91876,                0.99188,                      1,                  0.995,                 0.8737,                0.68882,                0.35397,                0.93378,               0.002476,               0.002476,               0.002476
                     78,                0.45398,                0.30996,                0.91973,                      1,                      1,                  0.995,                0.86805,                0.66299,                0.33548,                0.91005,               0.002377,               0.002377,               0.002377
                     79,                0.48683,                0.31441,                0.92766,                0.99199,                      1,                  0.995,                0.81386,                0.82712,                0.31498,                 1.1248,               0.002278,               0.002278,               0.002278
                     80,                0.48313,                 0.3128,                0.93867,                0.99199,                      1,                  0.995,                0.78141,                0.88689,                0.36233,                 1.1931,               0.002179,               0.002179,               0.002179
                     81,                0.50839,                0.32886,                0.92797,                      1,                      1,                  0.995,                0.82537,                0.80231,                0.29488,                 1.1599,                0.00208,                0.00208,                0.00208
                     82,                0.43084,                0.29748,                0.87652,                      1,                      1,                  0.995,                0.82537,                0.78426,                0.34835,                 1.1106,               0.001981,               0.001981,               0.001981
                     83,                 0.4603,                0.30345,                0.90372,                      1,                      1,                  0.995,                 0.8429,                0.74339,                0.31138,                 1.0825,               0.001882,               0.001882,               0.001882
